gene_id,log2FoldChange__Huang_GSE214411,pvalue__Huang_GSE214411,padj__Huang_GSE214411,log2FoldChange__Mareckova_E_MTAB_14039,pvalue__Mareckova_E_MTAB_14039,padj__Mareckova_E_MTAB_14039,direction_concordant
ENSG00000152518,0.7695133823987745,0.0006014915274862563,0.14830215881313563,-0.44343797698991877,0.1911039032479933,0.9999244088149658,False
ENSG00000071967,0.6779477827164244,0.0006404588723251337,0.15121351592146348,0.3231548263957323,0.3486517091363017,0.9999244088149658,True
ENSG00000100100,-0.6461677805852802,0.0006424853483764761,0.15121351592146348,0.001301890945147057,0.9978202106487208,0.9999244088149658,False
ENSG00000246859,-1.0146527438385142,0.0006997884670643477,0.1618107367703176,1.0864995766332264,0.01677095401803866,0.9999244088149658,False
ENSG00000172935,-1.0961449441387752,0.0007157634147003589,0.1626510656163919,-0.27036295592267684,0.6074267091330584,0.9999244088149658,True
ENSG00000204899,0.5589218969474073,0.0007548908606692282,0.16863494141729538,-0.22568119503421968,0.6364225135602343,0.9999244088149658,False
ENSG00000153487,0.66979603765105,0.0008157825010144889,0.17543102212252468,-0.6349006258547518,0.15688145756348404,0.9999244088149658,False
ENSG00000010404,0.568124314503049,0.0008164138704403985,0.17543102212252468,-0.1414537082018135,0.651303945783035,0.9999244088149658,False
ENSG00000059804,0.9460364579916977,0.0008252445653715121,0.17543102212252468,-0.43492139189005175,0.607468959890507,0.9999244088149658,False
ENSG00000165959,0.7002279046896212,0.000878179079075515,0.18372063908278236,0.15642584153235675,0.7702626428325031,0.9999244088149658,True
ENSG00000146038,-1.5636752488027335,0.0008943415003898517,0.1841784527365351,1.6188747366450886,0.08676720642215892,0.9999244088149658,False
ENSG00000176248,0.9845464744944661,0.0009276202357837137,0.18809284165583612,-0.04293657904112272,0.9380597814467788,0.9999244088149658,False
ENSG00000088448,0.6696048487819952,0.0009436299563650858,0.18844004280139137,-0.03371528971155116,0.9208692050307933,0.9999244088149658,False
ENSG00000177842,-1.2080848390256846,0.0009862324513039281,0.19189595481884789,-0.40521606701025703,0.5984106990739451,0.9999244088149658,True
ENSG00000197019,0.9297813038506506,0.0010005756104723659,0.19189595481884789,-0.6954375711601409,0.3255060321942619,0.9999244088149658,False
ENSG00000167178,1.237887691087517,0.001004614634484105,0.19189595481884789,0.8351027124545954,0.14004687538171337,0.9999244088149658,True
ENSG00000172123,-0.941153352383486,0.001023747860889087,0.1927570972359738,0.19191489861392716,0.6472183232641635,0.9999244088149658,False
ENSG00000172000,-1.3428284364429006,0.0010898750626137722,0.19894638482915614,0.5588394811039391,0.27784991031511796,0.9999244088149658,False
ENSG00000188738,-1.6147989262603475,0.0011122187486711833,0.19894638482915614,-1.0949919018484786,0.11147403402464809,0.9999244088149658,True
ENSG00000137601,-0.5255888118029572,0.0011281907628186995,0.19894638482915614,-0.03925638448700116,0.9285266887559074,0.9999244088149658,True
ENSG00000162851,0.5682188738872517,0.001154440960213623,0.19894638482915614,-0.4867028296337269,0.37044495208560824,0.9999244088149658,False
ENSG00000198848,-1.6107112727288173,0.0011565365392520552,0.19894638482915614,-1.9743130073978612,0.023371272569561737,0.9999244088149658,True
ENSG00000131944,-1.027666249984316,0.0011567364682636113,0.19894638482915614,0.017871518644079414,0.980361517556227,0.9999244088149658,False
ENSG00000090857,-0.5765229307228323,0.0011622816109138864,0.19894638482915614,-0.16044381697926285,0.7267616959017567,0.9999244088149658,True
ENSG00000116285,1.0220560485919719,0.0011864273319769445,0.2004757978904632,0.24525331197371594,0.6020376874061371,0.9999244088149658,True
ENSG00000104881,1.1582188550947519,0.001222807482284916,0.20118247111315765,0.2329956739506504,0.7713846833270053,0.9999244088149658,True
ENSG00000197063,0.8165500567449001,0.0012600416012758108,0.20118247111315765,-0.26222736032593646,0.534235926850285,0.9999244088149658,False
ENSG00000168256,-0.46987308136368694,0.0012614119607827616,0.20118247111315765,-0.13643540025324288,0.7299163866001583,0.9999244088149658,True
ENSG00000160741,0.7776654462429973,0.0012658446024606514,0.20118247111315765,0.03690398242641066,0.9337233849041943,0.9999244088149658,True
ENSG00000189060,0.7703913779494798,0.001276280652465389,0.20118247111315765,-0.08337998609174078,0.8327311706448284,0.9999244088149658,False
ENSG00000270069,1.2997033136480236,0.0012887933997995339,0.20118247111315765,-0.20671190067789796,0.622581225853118,0.9999244088149658,False
ENSG00000164176,-0.7854461800282139,0.001297459032216874,0.20118247111315765,-0.00402316484589924,0.9951697680097346,0.9999244088149658,True
ENSG00000235563,1.7235876932572785,0.001338603790131155,0.20376708532706486,-0.7373581723439785,0.4247565118081217,0.9999244088149658,False
ENSG00000049860,0.488739165496114,0.0013450482870602915,0.20376708532706486,-0.1428390781188929,0.7299713457364345,0.9999244088149658,False
ENSG00000114315,1.12439132669363,0.001378267870558078,0.20617699338762496,0.3095156370827306,0.6387687532493802,0.9999244088149658,True
ENSG00000234545,0.5403351045366638,0.0013922422163504266,0.20617699338762496,0.06407591109484785,0.8151301988101932,0.9999244088149658,True
ENSG00000136842,0.9245929726083355,0.0014098656370622718,0.20646698996089716,-0.21972472285377792,0.5597776166714139,0.9999244088149658,False
ENSG00000105656,0.7805765997757843,0.0014757041000264275,0.21018759069746568,-0.2794344519670571,0.5969672223579481,0.9999244088149658,False
ENSG00000013503,-0.9269231147366995,0.0015019750300498513,0.21018759069746568,0.2423808756147115,0.6479044180769952,0.9999244088149658,False
ENSG00000221968,0.7104845988237195,0.0015304754982469718,0.21018759069746568,-0.5303611358540286,0.3210977166408112,0.9999244088149658,False
ENSG00000179388,1.3172515614377929,0.0015340416728161692,0.21018759069746568,-0.13138809883477282,0.8834971582801076,0.9999244088149658,False
ENSG00000181163,0.4223929608018944,0.001539794423375708,0.21018759069746568,-0.4030808716440711,0.31684025472544997,0.9999244088149658,False
ENSG00000205502,-2.195229067940331,0.0015417910550749943,0.21018759069746568,4.1481052506861635,4.372348711487791e-05,0.08621647037809425,False
ENSG00000164252,-0.5485445345665746,0.0015611672755051471,0.21018759069746568,0.11432095587505664,0.7496001263171339,0.9999244088149658,False
ENSG00000109220,0.5997426690330243,0.0015628515848521726,0.21018759069746568,-0.27758145419658903,0.5552502168179057,0.9999244088149658,False
ENSG00000155090,0.7460316889317958,0.0016010023165770643,0.21314354073217887,-0.279722482761273,0.3923503572258171,0.9999244088149658,False
ENSG00000167114,-0.9873558339381949,0.0016434185819448424,0.21660256910033024,-0.4098842054391669,0.496581272844834,0.9999244088149658,True
ENSG00000167470,0.7366216678590898,0.0016833796805923408,0.21924094112759,-0.3133973600730863,0.4068347602098017,0.9999244088149658,False
ENSG00000106565,1.0253458763931502,0.0016967053106991031,0.21924094112759,-0.9003762312042459,0.10852401319888628,0.9999244088149658,False
ENSG00000180881,-1.1167062599952187,0.0017215585597118097,0.2198112932510632,0.22009133747089293,0.7224782904758172,0.9999244088149658,False
ENSG00000111319,-1.5979490257518787,0.0017368571897959251,0.2198112932510632,1.2835006475880522,0.12406004548084118,0.9999244088149658,False
ENSG00000137955,0.4302322902165654,0.0017756844776689212,0.2198112932510632,-0.3450362793752524,0.31304241819338463,0.9999244088149658,False
ENSG00000069011,-1.8687305194401664,0.0017838263569468075,0.2198112932510632,-0.6930880036509314,0.4646289324384806,0.9999244088149658,True
ENSG00000105088,1.0193160156549412,0.001784507464177827,0.2198112932510632,-0.16231225295856844,0.7373915799715931,0.9999244088149658,False
ENSG00000137812,-1.8003070295753878,0.0018216874671952864,0.22231334090401736,1.9977663268939534,0.034989225116460354,0.9999244088149658,False
ENSG00000138771,-0.7582117143695344,0.0019306022647346394,0.23001962006093757,0.870466558613215,0.06884978478508644,0.9999244088149658,False
ENSG00000104332,-1.244998315611423,0.0019350811140890862,0.23001962006093757,0.6299197204323763,0.2654459018624896,0.9999244088149658,False
ENSG00000168528,-1.1597057782268825,0.0019505386260521825,0.23001962006093757,1.5812019592784399,0.02191600908907373,0.9999244088149658,False
ENSG00000139597,0.701862488348785,0.0019546432053736728,0.23001962006093757,-0.2809126290984526,0.5955737002737249,0.9999244088149658,False
ENSG00000072952,-0.9491624830905384,0.002001942840498247,0.23030065379841058,0.38079777441343765,0.5885913998586829,0.9999244088149658,False
ENSG00000167191,0.6310452815052853,0.002003792416259186,0.23030065379841058,0.43274864909280625,0.3160381538522632,0.9999244088149658,True
ENSG00000011198,0.8888736091911629,0.0020094518351151153,0.23030065379841058,0.006234989345989337,0.9876421130929592,0.9999244088149658,True
ENSG00000011347,0.9363404257703506,0.002123246345238006,0.24124471405376652,-0.36011209537343286,0.5508793260473073,0.9999244088149658,False
ENSG00000154928,-1.8010185322463272,0.002261983100463445,0.25481142960776243,0.45536445980410023,0.6081222166186614,0.9999244088149658,False
ENSG00000000419,0.4179133606045029,0.0023280718023374306,0.25528909268357053,-0.4261326882787772,0.38966711062859816,0.9999244088149658,False
ENSG00000147454,0.5375738445660875,0.0023333894313602352,0.25528909268357053,-0.24827934155419998,0.4554947732299167,0.9999244088149658,False
ENSG00000186132,0.6311390763578838,0.0023718631525419046,0.25528909268357053,-0.05626439208643945,0.9143743312323025,0.9999244088149658,False
ENSG00000134717,0.3761594915989218,0.002378251336863725,0.25528909268357053,-0.5271941988062445,0.12157059907083112,0.9999244088149658,False
ENSG00000136935,-0.6262868689007051,0.0024126401374993185,0.25528909268357053,0.11861107556868318,0.7892425163344987,0.9999244088149658,False
ENSG00000100823,0.31270136220670236,0.0024438597229393833,0.25528909268357053,-0.1900981515722691,0.6022455997888119,0.9999244088149658,False
ENSG00000196214,-0.5277812112090234,0.0024722212483669673,0.25528909268357053,-0.2274857684075656,0.5264122962263076,0.9999244088149658,True
ENSG00000164920,0.5829258014747964,0.002477293444803025,0.25528909268357053,-0.13195716565857785,0.7054391002637742,0.9999244088149658,False
ENSG00000103710,0.6262717613673252,0.002569016962907322,0.25528909268357053,-0.2702876267408931,0.5809136160140316,0.9999244088149658,False
ENSG00000129484,-0.5723383588026023,0.0025770920611957546,0.25528909268357053,0.4117965606989667,0.30809763022494296,0.9999244088149658,False
ENSG00000100629,-1.102942085811467,0.0026136028509259742,0.25528909268357053,0.874966146759261,0.18199741888827614,0.9999244088149658,False
ENSG00000066279,-1.7966954754249191,0.0026255827317715,0.25528909268357053,1.0409926715784767,0.2724388576410506,0.9999244088149658,False
ENSG00000213923,0.3727608155208447,0.002634579893811798,0.25528909268357053,0.12341324294700926,0.7105958089121467,0.9999244088149658,True
ENSG00000022267,0.5824263825274334,0.0026412545201896613,0.25528909268357053,-0.21557615940326275,0.6009081607037652,0.9999244088149658,False
