gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,dataset_id,gene_symbol,effect_scope,contrast,significant_fdr_0_10,direction,absolute_log2_fold_change,open_targets_queried,is_known_drug_target,has_approved_drug,n_drugs_or_candidates,best_clinical_stage,drug_names
ENSG00000168758,56.69003577552435,-0.04894557597130226,0.3990245918976208,-0.12266305627564028,0.9023739197023082,0.9999244088149658,Mareckova_E-MTAB-14039,SEMA4C,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.04894557597130226,False,,,,,
ENSG00000266714,58.90792295250584,0.04895837889441904,0.3995790287878819,0.12252489587087112,0.9024833304764025,0.9999244088149658,Mareckova_E-MTAB-14039,MYO15B,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.04895837889441904,False,,,,,
ENSG00000019485,22.277858362713737,0.06369556909348398,0.5202494200094546,0.12243275368250565,0.9025562999384431,0.9999244088149658,Mareckova_E-MTAB-14039,PRDM11,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.06369556909348398,False,,,,,
ENSG00000145391,130.27352542351005,-0.04130474488193313,0.3373848608431139,-0.1224261953506565,0.9025614936596642,0.9999244088149658,Mareckova_E-MTAB-14039,SETD7,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.04130474488193313,False,,,,,
ENSG00000060237,246.94206058730285,-0.04257298304751575,0.34780163372147704,-0.12240593177204169,0.9025775409646007,0.9999244088149658,Mareckova_E-MTAB-14039,WNK1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.04257298304751575,False,,,,,
ENSG00000100227,68.28708953182556,-0.04828218058261092,0.39484619583985714,-0.12228098204140568,0.902676493093577,0.9999244088149658,Mareckova_E-MTAB-14039,POLDIP3,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.04828218058261092,False,,,,,
ENSG00000056097,188.23157382686094,-0.03879127638427429,0.3172575435995151,-0.12227061946001143,0.9026846996576993,0.9999244088149658,Mareckova_E-MTAB-14039,ZFR,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.03879127638427429,False,,,,,
ENSG00000265808,205.69697256654928,-0.03717116167319248,0.30416886985352015,-0.12220567374660384,0.9027361331369406,0.9999244088149658,Mareckova_E-MTAB-14039,SEC22B,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.03717116167319248,False,,,,,
ENSG00000222012,2.4678576685564284,-0.1355211330807384,1.1094735367408648,-0.1221490451037153,0.9027809802810036,0.9999244088149658,Mareckova_E-MTAB-14039,AC005481.1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.1355211330807384,False,,,,,
ENSG00000102302,33.3142832727504,0.06415192000024685,0.5252376433805829,0.12213884668917928,0.9027890569646313,0.9999244088149658,Mareckova_E-MTAB-14039,FGD1,Within Mareckova_E-MTAB-14039,Endometriosis - Normal,False,not_significant,0.06415192000024685,False,,,,,
