dataset_id,donor_id,disease_group,cycle_group,menstrual_cycle_stage_fine,gene_symbol,gene_id,raw_count,size_factor,normalized_count,log2_normalized_count_plus_1
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1125,Endometriosis,Proliferative,Proliferative,TGFB1,ENSG00000105329,28,0.3067153561051866,91.2898537443868,6.528100143004693
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1146,Normal,Proliferative,Proliferative,TGFB1,ENSG00000105329,274,3.5597126142943196,76.97250584210938,6.284893594788551
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1156,Endometriosis,Secretory,Secretory Mid,TGFB1,ENSG00000105329,45,0.44748037667506135,100.56306900956424,6.666232085559876
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1176,Endometriosis,Proliferative,Proliferative,TGFB1,ENSG00000105329,30,0.2430216186995888,123.4458076632454,6.959373819327731
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1259,Endometriosis,Proliferative,Proliferative Late,TGFB1,ENSG00000105329,23,0.29063327321060867,79.13753214117693,6.324406177122927
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX9006,Endometriosis,Secretory,Secretory Early,TGFB1,ENSG00000105329,782,9.586025886494385,81.57707993484021,6.367669498167626
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::SE06,Normal,Menstrual,Menstrual,TGFB1,ENSG00000105329,39,0.35904146829335765,108.62255044070493,6.776400795212979
Huang_GSE214411,GSE214411::EMS1,Endometriosis,Secretory,Secretory Early,SPP1,ENSG00000118785,48,6.347057987227977,7.5625589204619175,3.098042010430979
Huang_GSE214411,GSE214411::EMS2,Endometriosis,Proliferative,Proliferative,SPP1,ENSG00000118785,1,0.39005093507532335,2.5637677289682395,1.8334033112746801
Huang_GSE214411,GSE214411::EMS3,Endometriosis,Proliferative,Proliferative,SPP1,ENSG00000118785,0,0.17377537471167326,0.0,0.0
Huang_GSE214411,GSE214411::EMS4,Endometriosis,Proliferative,Proliferative,SPP1,ENSG00000118785,0,0.33314502673650237,0.0,0.0
Huang_GSE214411,GSE214411::EMS5,Endometriosis,Secretory,Secretory Mid,SPP1,ENSG00000118785,27,4.995403224774886,5.404969085597036,2.6791916072314836
Huang_GSE214411,GSE214411::EMS6,Endometriosis,Secretory,Secretory Mid,SPP1,ENSG00000118785,22,3.0689678487840752,7.168533879791669,3.0300771610929282
Huang_GSE214411,GSE214411::N1,Normal,Secretory,Secretory Mid,SPP1,ENSG00000118785,25,0.2901785738821823,86.15384542537053,6.445492415620653
Huang_GSE214411,GSE214411::N2,Normal,Proliferative,Proliferative,SPP1,ENSG00000118785,12,1.411320168616139,8.502677327828826,3.2483340422227047
Huang_GSE214411,GSE214411::N3,Normal,Proliferative,Proliferative,SPP1,ENSG00000118785,0,0.28669385309998974,0.0,0.0
Huang_GSE214411,GSE214411::N4,Normal,Proliferative,Proliferative,SPP1,ENSG00000118785,0,0.2732437809128049,0.0,0.0
Huang_GSE214411,GSE214411::N5,Normal,Secretory,Unknown,SPP1,ENSG00000118785,34,3.5186574944824023,9.662776230228522,3.4145112114197955
