dataset_id,cell_type,pathway,set_size,ES,NES,nominal_p_value,leading_edge_genes,FDR,global_dataset_FDR,significant_fdr_0_25,significant_global_dataset_fdr_0_25,msigdb_version,gmt_url
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_FATTY_ACID_METABOLISM,129,-0.33419917299710816,-1.5868237464828496,0.002631578947368421,LDHA;ALDH1A1;LGALS1;HSD17B10;CBR1;AADAT;SDHC;MCEE;ACADM;FASN;IDH3B;ACAA2;BPHL;HSP90AA1;CRAT;ETFDH;ECI1;APEX1;NTHL1;GABARAPL1;HIBCH;MDH1;PPARA;ACADS;RDH11;NSDHL;ECHS1;PTPRG;UGDH;PTS;ACOX1;GLUL;GSTZ1;IDH3G;ACAT2;FH;ERP29;SUCLG1;D2HGDH;UROS;ALDH3A2;HSD17B11;MLYCD;EPHX1;SUCLA2;PDHB;HCCS;SDHD;PRDX6;IDI1;HMGCL;PDHA1;ENO3;ACAA1;GCDH;ECI2;SMS;ACADVL;DECR1;ACSL1;SDHA;GRHPR;HADHB;OSTC;ODC1;ALDH9A1;ACOT2;CA4,0.011961722488038277,0.01564455569461827,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_ALLOGRAFT_REJECTION,94,0.3835823095036496,1.6034051678073866,0.004885993485342019,CD74;HLA-DRA;SRGN;CDKN2A;IRF8;F2R;HLA-DMA;IGSF6;LIF;ETS1;ICAM1;STAT1;CCND2;GBP2;EIF3J;CXCL13;CSK;LYN,0.02035830618892508,0.02298762499521091,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_ANDROGEN_RESPONSE,94,0.3828747964145635,1.6004477057054458,0.006514657980456026,SGK1;SCD;GUCY1A1;CCND1;DHCR24;IQGAP2;KRT8;KLK2;MAF;ABCC4;SPDEF;HOMER2;PDLIM5;B4GALT1;INSIG1;INPP4B;FADS1;SRF;GSR;RRP12;ARID5B;SAT1;STEAP4;ACTN1;PA2G4;PTK2B;ITGAV;ZMIZ1;ELK4;NCOA4,0.02171552660152009,0.02659044073655521,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_MYC_TARGETS_V1,194,-0.2967622152952215,-1.4712304062619124,0.005934718100890208,RPL14;PTGES3;CUL1;PRPF31;SRM;PPM1G;PSMA1;SNRPD1;MRPL9;EIF4E;TUFM;RPS5;EIF2S1;CCT4;CCT7;PRDX3;CLNS1A;NDUFAB1;SNRPA1;ABCE1;PSMD3;CYC1;PSMA6;RPS3;EIF3B;PSMD8;PSMC4;ILF2;UBA2;U2AF1;CCT3;HNRNPA1;SRSF3;TCP1;CAD;COPS5;RPL18;PSMA2;SNRPD3;SRSF2;SSBP1;NPM1;YWHAQ;RPS2;HDDC2;PSMC6;PSMD7;RACK1;EXOSC7;EIF4A1;VDAC3;CTPS1;SLC25A3;AP3S1;MYC;SRSF7;EIF3D;ODC1;HPRT1;KPNA2;RPS10;PRPS2,0.02171552660152009,0.025254119578256205,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,-0.30457834576975024,-1.519703063421333,0.006430868167202572,NDUFB2;SDHC;PMPCA;GRPEL1;ACADM;NDUFV2;IDH3B;ATP5MG;ACAA2;NDUFB8;NDUFS4;COX7A2;MRPL34;ISCU;ATP5MC1;MRPS22;ACAT1;ETFDH;NDUFA6;ATP6V1F;MRPL15;ECI1;GLUD1;NDUFS6;TIMM13;ATP5PF;ATP5PO;ATP5MC3;ISCA1;UQCRH;MDH1;MPC1;ATP6V0E1;NDUFC2;ATP6V1G1;ETFB;ECHS1;ATP6V0C;MRPS30;MRPS11;IDH2;PRDX3;NDUFAB1;HTRA2;POR;TOMM22;CYC1;ATP5F1B;IDH3G;FH;SLC25A5;COX11;SUCLG1;UQCRFS1;NDUFS3;RHOT1;BDH2;SUCLA2;LDHB;COX4I1;PDHB;HCCS;SLC25A11;OAT;SDHD;COX7A2L;ABCB7;PDHA1;NDUFA9;MGST3;ACAA1;PHYH;VDAC3;ACADVL;DECR1;SLC25A3;VDAC2;NDUFV1;CYCS;NDUFS2;SDHA;ATP6V1D;HADHB;MTRF1;IDH3A;NQO2;NDUFB5;FDX1;UQCRC2;MTX2,0.02171552660152009,0.02659044073655521,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,105,-0.3453841465875646,-1.559433820714872,0.0072992700729927005,EIF4A3;DCP1A;GOSR2;PDIA6;SPCS1;SRPRB;EIF4E;EIF2S1;CNOT4;KIF5B;EXOSC4;DKC1;BAG3;CEBPG;KDELR3;LSM1;RPS14;EXOSC1;DDIT4;HERPUD1;PREB;CNOT2;SERP1;EIF4A2;ASNS;NPM1;XBP1;EIF4A1;SEC11A;ATP6V0D1;YIF1A;NFYB;FUS;WIPI1;DNAJB9;CEBPB;EXOSC9,0.02281021897810219,0.027544415369783776,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_ESTROGEN_RESPONSE_LATE,142,0.34010430952193416,1.5059594987791327,0.007898894154818325,AGR2;CXCL14;CDH1;ASS1;SGK1;CCND1;PERP;HSPB8;TOP2A;CDC20;SCNN1A;STIL;HOMER2;ID2;TFPI2;FLNB;SLC29A1;SLC7A5;PDCD4;CD9;SNX10;SLC22A5;IGFBP4;CDC6;SLC24A3;SERPINA5;XRCC3;TST;ATP2B4;CA2;DLG5;PLXNB1;TPD52L1;WFS1;TFAP2C;IL6ST;PLK4;TIAM1;ALDH3B1;RAPGEFL1;AMFR;RPS6KA2;PLAAT3;MOCS2;ITPK1;HSPA4L;DHCR7;RABEP1;ANXA9;MYOF;DNAJC12,0.0232320416318186,0.028464483440786753,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_TNFA_SIGNALING_VIA_NFKB,154,-0.30486808816039634,-1.4746628090628127,0.008875739644970414,NAMPT;SPSB1;TRIB1;MCL1;NR4A1;NFAT5;YRDC;KLF6;RNF19B;EHD1;HBEGF;SLC2A6;DENND5A;MAFF;ZFP36;BTG1;RELB;CCNL1;KLF2;PANX1;KLF10;CD44;BCL6;F3;DNAJB4;JAG1;ACKR3;EIF1;SMAD3;TIPARP;GADD45B;KLF4;PLAU;IER2;MYC;EGR1;ATP2B1;FOS;RHOB;TNIP2;JUNB;IER5;PLAUR;CEBPB;FOSB;SOCS3;JUN;DUSP1,0.02465483234714004,0.030605998775760052,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_ADIPOGENESIS,183,-0.26563140442988764,-1.3068101323609018,0.018461538461538463,NKIRAS1;CAT;ATP5PO;SLC5A6;HIBCH;GBE1;UCK1;PPP1R15B;ACADS;ETFB;SOD1;ECHS1;UBC;TKT;ACOX1;PRDX3;NDUFAB1;SSPN;CMPK1;PIM3;JAGN1;POR;CYC1;IDH3G;GHITM;SUCLG1;SCP2;LAMA4;NDUFS3;DHRS7B;BAZ2A;BCL6;QDPR;PREB;FAH;DRAM2;MTCH2;MGST3;COQ9;CD151;RAB34;SLC66A3;PHYH;DECR1;COQ5;IDH3A;OMD;ELMOD3;SOWAHC;PGM1;PHLDB1;DNAJB9;SULT1A1;SAMM50;DNAJC15,0.048582995951417005,0.053511705685618735,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
Mareckova_E-MTAB-14039,dStromal_early,HALLMARK_UV_RESPONSE_DN,134,0.3165132254752804,1.4133561056172126,0.02377179080824089,MT1E;PTPRM;TGFBR2;EFEMP1;CACNA1A;PTGFR;ADGRL2;WDR37;PDLIM5;APBB2;GJA1;SCN8A;FBLN5;CAP2;INSIG1;CELF2;INPP4B;LDLR;RUNX1;NOTCH2;SFMBT1;ERBB2;COL11A1;KIT;IGF1R;ATP2B4;TENT4A;PDGFRB;ANXA4;ZMIZ1;PRDM2;PIK3R3;NRP1;YTHDC1;VAV2;PTEN;SYNE1;NFKB1;TFPI;MMP16;PIAS3;ATP2C1;AMPH;ABCC1;SYNJ2,0.059429477020602216,0.06649451974333116,True,True,2026.1.Hs,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt
